Origen,Destino,Distancia (m),Distancia (unidades),Tiempo caminando (min),Sección (1-4)
TREN,ENTRADA REVOLUCIÓN,56.25,0.9, 00:40,1
TREN,ENTRADA CDU,162.5,2.6, 01:56,1
ENTRADA REVOLUCIÓN,TREN,56.25,0.9, 00:40,1
ENTRADA REVOLUCIÓN,TITANIC,150,2.4, 01:47,1
ENTRADA REVOLUCIÓN,FLOR DE CORDOBA,212.5,3.4, 02:32,1
ENTRADA REVOLUCIÓN,U,237.5,3.8, 02:50,1
COLISEO,ENTRADA CDU,112.5,1.8, 01:20,2
COLISEO,CDU-CUCEI,281.25,4.5, 03:21,2
COLISEO,ESTACIONAMIENTO CDU,100,1.6, 01:11,2
COLISEO,GYM,43.75,0.7, 00:31,2
GYM,COLISEO,43.75,0.7, 00:31,2
GYM,CDU,175,2.8, 02:05,2
GYM,ESTACIONAMIENTO CDU,37.5,0.6, 00:27,2
GYM,ENTRADA CDU,75,1.2, 00:54,2
GYM,CDU-CUCEI,200,3.2, 02:23,2
ENTRADA CDU,GYM,75,1.2, 00:54,2
ENTRADA CDU,COLISEO,100,1.6, 01:11,2
ENTRADA CDU,TREN,162.5,2.6, 01:56,2
ENTRADA CDU,ESTACIONAMIENTO CDU,37.5,0.6, 00:27,2
ESTACIONAMIENTO CDU,ENTRADA CDU,37.5,0.6, 00:27,2
ESTACIONAMIENTO CDU,GYM,37.5,0.6, 00:27,2
ESTACIONAMIENTO CDU,COLISEO,100,1.6, 01:11,2
ESTACIONAMIENTO CDU,CDU,175,2.8, 02:05,2
CDU,ESTACIONAMIENTO CDU,175,2.8, 02:05,2
CDU,CAFE COYOTE,81.25,1.3, 00:58,2
CDU,CDU-CUCEI,112.5,1.8, 01:20,2
CDU,ALBERCA,181.25,2.9, 02:09,2
CDU-CUCEI,CDU,112.5,1.8, 01:20,2
CDU-CUCEI,JOBS,118.75,1.9, 01:25,2
CDU-CUCEI,COLISEO,281.25,4.5, 03:21,2
CDU-CUCEI,CAFE COYOTE,56.25,0.9, 00:40,2
CDU-CUCEI,COORDINACIÓN TECNOLOGÍAS PARA EL APRENDIZAJE,87.5,1.4, 01:03,2
CAFE COYOTE,CDU-CUCEI,56.25,0.9, 00:40,2
CAFE COYOTE,PISTA,150,2.4, 01:47,2
CAFE COYOTE,ALBERCA,143.75,2.3, 01:43,2
CAFE COYOTE,CDU,81.25,1.3, 00:58,2
PISTA,ESTACIONAMIENTO ESTUDIANTES,125,2, 01:29,4
PISTA,ESTACIONAMIENTO ALBERCA,150,2.4, 01:47,4
PISTA,CAFE COYOTE,150,2.4, 01:47,4
PISTA,ALBERCA,162.5,2.6, 01:56,4
ALBERCA,CDU,181.25,2.9, 02:09,4
ALBERCA,CAFE COYOTE,143.75,2.3, 01:43,4
ALBERCA,PISTA,162.5,2.6, 01:56,4
ALBERCA,ESTACIONAMIENTO ALBERCA,100,1.6, 01:11,4
ESTACIONAMIENTO ALBERCA,ALBERCA,100,1.6, 01:11,4
ESTACIONAMIENTO ALBERCA,ESTACIONAMIENTO CDU,125,2, 01:29,4
ESTACIONAMIENTO 2,ESTACIONAMIENTO ALBERCA,125,2, 01:29,4
ESTACIONAMIENTO ESTUDIANTES,PISTA,125,2, 01:29,4
ESTACIONAMIENTO ESTUDIANTES,GLOBO,31.25,0.5, 00:22,4
ESTACIONAMIENTO ESTUDIANTES,BIBLIOTECA,187.5,3, 02:14,4
ESTACIONAMIENTO ESTUDIANTES,ENTRADA OLIMPICA,143.75,2.3, 01:43,4
ESTACIONAMIENTO ESTUDIANTES,C,93.75,1.5, 01:07,4
ESTACIONAMIENTO ESTUDIANTES,D,62.5,1, 00:45,4
ESTACIONAMIENTO ESTUDIANTES,CDU-CUCEI,93.75,1.5, 01:07,4
ESTACIONAMIENTO ESTUDIANTES,BETA,50,0.8, 00:36,4
ESTACIONAMIENTO ESTUDIANTES,COORDINACIÓN TECNOLOGÍAS PARA EL APRENDIZAJE,75,1.2, 00:54,4
ENTRADA OLIMPICA,CUCS,31.25,0.5, 00:22,4
ENTRADA OLIMPICA,PISTA,150,2.4, 01:47,4
ENTRADA OLIMPICA,ESTACIONAMIENTO ESTUDIANTES,143.75,2.3, 01:43,4
CUCS,ENTRADA OLIMPICA,31.25,0.5, 00:22,4
CUCS,ESTACIONAMIENTO ESTUDIANTES,125,2, 01:29,4
CUCS,PISTA,137.5,2.2, 01:38,4
CUCS,C,25,0.4, 00:18,4
C,CUCS,25,0.4, 00:18,3
C,D,50,0.8, 00:36,3
