Origen,Destino,Distancia (m),Distancia (unidades),Tiempo caminando (min)
TREN,ENTRADA REVOLUCIÓN,56.25,0.9, 00:40
TREN,ENTRADA CDU,162.5,2.6, 01:56
ENTRADA REVOLUCIÓN,TREN,56.25,0.9, 00:40
ENTRADA REVOLUCIÓN,TITANIC,150,2.4, 01:47
ENTRADA REVOLUCIÓN,FLOR DE CORDOBA,212.5,3.4, 02:32
ENTRADA REVOLUCIÓN,U,237.5,3.8, 02:50
COLISEO,ENTRADA CDU,112.5,1.8, 01:20
COLISEO,CDU-CUCEI,281.25,4.5, 03:21
COLISEO,ESTACIONAMIENTO CDU,100,1.6, 01:11
COLISEO,GYM,43.75,0.7, 00:31
GYM,COLISEO,43.75,0.7, 00:31
GYM,CDU,175,2.8, 02:05
GYM,ESTACIONAMIENTO CDU,37.5,0.6, 00:27
GYM,ENTRADA CDU,75,1.2, 00:54
GYM,CDU-CUCEI,200,3.2, 02:23
ENTRADA CDU,GYM,75,1.2, 00:54
ENTRADA CDU,COLISEO,100,1.6, 01:11
ENTRADA CDU,TREN,162.5,2.6, 01:56
ENTRADA CDU,ESTACIONAMIENTO CDU,37.5,0.6, 00:27
ESTACIONAMIENTO CDU,ENTRADA CDU,37.5,0.6, 00:27
ESTACIONAMIENTO CDU,GYM,37.5,0.6, 00:27
ESTACIONAMIENTO CDU,COLISEO,100,1.6, 01:11
ESTACIONAMIENTO CDU,CDU,175,2.8, 02:05
CDU,ESTACIONAMIENTO CDU,175,2.8, 02:05
CDU,CAFE COYOTE,81.25,1.3, 00:58
CDU,CDU-CUCEI,112.5,1.8, 01:20
CDU,ALBERCA,181.25,2.9, 02:09
CDU-CUCEI,CDU,112.5,1.8, 01:20
CDU-CUCEI,JOBS,118.75,1.9, 01:25
CDU-CUCEI,COLISEO,281.25,4.5, 03:21
CDU-CUCEI,CAFE COYOTE,56.25,0.9, 00:40
CDU-CUCEI,COORDINACIÓN TECNOLOGÍAS PARA EL APRENDIZAJE,87.5,1.4, 01:03
CAFE COYOTE,CDU-CUCEI,56.25,0.9, 00:40
CAFE COYOTE,PISTA,150,2.4, 01:47
CAFE COYOTE,ALBERCA,143.75,2.3, 01:43
CAFE COYOTE,CDU,81.25,1.3, 00:58
PISTA,ESTACIONAMIENTO ESTUDIANTES,125,2, 01:29
PISTA,ESTACIONAMIENTO ALBERCA,150,2.4, 01:47
PISTA,CAFE COYOTE,150,2.4, 01:47
PISTA,ALBERCA,162.5,2.6, 01:56
ALBERCA,CDU,181.25,2.9, 02:09
ALBERCA,CAFE COYOTE,143.75,2.3, 01:43
ALBERCA,PISTA,162.5,2.6, 01:56
ALBERCA,ESTACIONAMIENTO ALBERCA,100,1.6, 01:11
ESTACIONAMIENTO ALBERCA,ALBERCA,100,1.6, 01:11
ESTACIONAMIENTO ALBERCA,ESTACIONAMIENTO CDU,125,2, 01:29
ESTACIONAMIENTO 2,ESTACIONAMIENTO ALBERCA,125,2, 01:29
ESTACIONAMIENTO ESTUDIANTES,PISTA,125,2, 01:29
ESTACIONAMIENTO ESTUDIANTES,GLOBO,31.25,0.5, 00:22
ESTACIONAMIENTO ESTUDIANTES,BIBLIOTECA,187.5,3, 02:14
ESTACIONAMIENTO ESTUDIANTES,ENTRADA OLIMPICA,143.75,2.3, 01:43
ESTACIONAMIENTO ESTUDIANTES,C,93.75,1.5, 01:07
ESTACIONAMIENTO ESTUDIANTES,D,62.5,1, 00:45
ESTACIONAMIENTO ESTUDIANTES,CDU-CUCEI,93.75,1.5, 01:07
ESTACIONAMIENTO ESTUDIANTES,BETA,50,0.8, 00:36
ESTACIONAMIENTO ESTUDIANTES,COORDINACIÓN TECNOLOGÍAS PARA EL APRENDIZAJE,75,1.2, 00:54
ENTRADA OLIMPICA,CUCS,31.25,0.5, 00:22
ENTRADA OLIMPICA,PISTA,150,2.4, 01:47
ENTRADA OLIMPICA,ESTACIONAMIENTO ESTUDIANTES,143.75,2.3, 01:43
CUCS,ENTRADA OLIMPICA,31.25,0.5, 00:22
CUCS,ESTACIONAMIENTO ESTUDIANTES,125,2, 01:29
CUCS,PISTA,137.5,2.2, 01:38
CUCS,C,25,0.4, 00:18
C,CUCS,25,0.4, 00:18
C,D,50,0.8, 00:36
C,PISTA,125,2, 01:29
C,ESTACIONAMIENTO ESTUDIANTES,112.5,1.8, 01:20
D,ESTACIONAMIENTO ESTUDIANTES,106.25,1.7, 01:16
D,C,50,0.8, 00:36
D,BIBLIOTECA,106.25,1.7, 01:16
D,PROULEX,143.75,2.3, 01:43
CONTROL ESCOLAR,PROULEX,62.5,1, 00:45
PROULEX,CONTROL ESCOLAR,62.5,1, 00:45
PROULEX,BIBLIOTECA,181.25,2.9, 02:09
PROULEX,D,143.75,2.3, 01:43
PROULEX,FAJARDIN,112.5,1.8, 01:20
PROULEX,ENTRADA BOULEVARD,87.5,1.4, 01:03
FAJARDIN,ENTRADA BOULEVARD,68.75,1.1, 00:49
FAJARDIN,BIBLIOTECA,125,2, 01:29
FAJARDIN,G,187.5,3, 02:14
FAJARDIN,F,131.25,2.1, 01:34
FAJARDIN,E,143.75,2.3, 01:43
FAJARDIN,PROULEX,112.5,1.8, 01:20
FAJARDIN,D,162.5,2.6, 01:56
BIBLIOTECA,D,106.25,1.7, 01:16
BIBLIOTECA,ESTACIONAMIENTO ESTUDIANTES,187.5,3, 02:14
BIBLIOTECA,F,137.5,2.2, 01:38
BIBLIOTECA,E,150,2.4, 01:47
BIBLIOTECA,FAJARDIN,125,2, 01:29
BIBLIOTECA,PROULEX,181.25,2.9, 02:09
BIBLIOTECA,ENTRADA OLIMPICA,131.25,2.1, 01:34
E,BIBLIOTECA,150,2.4, 01:47
E,F,75,1.2, 00:54
E,GLOBO,56.25,0.9, 00:40
E,FAJARDIN,143.75,2.3, 01:43
F,FAJARDIN,131.25,2.1, 01:34
F,BIBLIOTECA,137.5,2.2, 01:38
F,E,75,1.2, 00:54
F,G,75,1.2, 00:54
F,H,56.25,0.9, 00:40
F,J,56.25,0.9, 00:40
F,I,100,1.6, 01:11
F,GLOBO,81.25,1.3, 00:58
H,G,93.75,1.5, 01:07
H,J,37.5,0.6, 00:27
H,F,56.25,0.9, 00:40
G,H,93.75,1.5, 01:07
G,FAJARDIN,187.5,3, 02:14
G,F,75,1.2, 00:54
J,H,37.5,0.6, 00:27
J,K,18.75,0.3, 00:13
J,F,56.25,0.9, 00:40
J,I,68.75,1.1, 00:49
K,J,18.75,0.3, 00:13
K,M,25,0.4, 00:18
K,ALFA,87.5,1.4, 01:03
I,J,68.75,1.1, 00:49
I,BETA,62.5,1, 00:45
I,GLOBO,62.5,1, 00:45
I,F,100,1.6, 01:11
GLOBO,I,62.5,1, 00:45
GLOBO,E,56.25,0.9, 00:40
GLOBO,ESTACIONAMIENTO ESTUDIANTES,31.25,0.5, 00:22
GLOBO,BETA,87.5,1.4, 01:03
ALFA,BETA,12.5,0.2, 00:09
ALFA,COORDINACIÓN TECNOLOGÍAS PARA EL APRENDIZAJE,31.25,0.5, 00:22
ALFA,K,87.5,1.4, 01:03
ALFA,L2,75,1.2, 00:54
ALFA,DIV CIENCIAS BASICAS,125,2, 01:29
BETA,ALFA,12.5,0.2, 00:09
BETA,GLOBO,87.5,1.4, 01:03
BETA,I,62.5,1, 00:45
BETA,ESTACIONAMIENTO ESTUDIANTES,62.5,1, 00:45
M,K,25,0.4, 00:18
M,N,12.5,0.2, 00:09
M,Y,200,3.2, 02:23
M,JARDIN CHEDRAUI,181.25,2.9, 02:09
M,L2,56.25,0.9, 00:40
L2,M,56.25,0.9, 00:40
L2,N,56.25,0.9, 00:40
L2,DIV CIENCIAS BASICAS,56.25,0.9, 00:40
L2,ALFA,75,1.2, 00:54
L2,P,62.5,1, 00:45
L2,O,100,1.6, 01:11
DIV CIENCIAS BASICAS,ALFA,125,2, 01:29
DIV CIENCIAS BASICAS,L2,56.25,0.9, 00:40
DIV CIENCIAS BASICAS,CDU-CUCEI,193.75,3.1, 02:18
DIV CIENCIAS BASICAS,P,50,0.8, 00:36
N,M,12.5,0.2, 00:09
N,L2,56.25,0.9, 00:40
N,Y,200,3.2, 02:23
N,JARDIN CHEDRAUI,181.25,2.9, 02:09
N,O,100,1.6, 01:11
O,N,100,1.6, 01:11
O,Y,125,2, 01:29
O,JARDIN CHEDRAUI,106.25,1.7, 01:16
O,S,25,0.4, 00:18
O,P,75,1.2, 00:54
O,R,87.5,1.4, 01:03
O,L2,100,1.6, 01:11
P,O,75,1.2, 00:54
P,DIV CIENCIAS BASICAS,437.5,7, 05:13
P,L2,62.5,1, 00:45
P,JOBS,84.375,1.35, 01:00
P,Q,81.25,1.3, 00:58
P,N,112.5,1.8, 01:20
P,R,143.75,2.3, 01:43
Q,P,84.375,1.35, 01:00
Q,JOBS,43.75,0.7, 00:31
Q,R,87.5,1.4, 01:03
Q,FLOR DE CORDOBA,31.25,0.5, 00:22
Q,TITANIC,62.5,1, 00:45
R,Q,87.5,1.4, 01:03
R,T,37.5,0.6, 00:27
R,P,143.75,2.3, 01:43
R,U,78.125,1.25, 00:56
R,V2,100,1.6, 01:11
S,O,250,4, 02:59
S,R,43.75,0.7, 00:31
S,V2,43.75,0.7, 00:31
S,JARDIN CHEDRAUI,50,0.8, 00:36
T,U,12.5,0.2, 00:09
T,FLOR DE CORDOBA,43.75,0.7, 00:31
T,R,31.25,0.5, 00:22
T,Q,75,1.2, 00:54
U,T,12.5,0.2, 00:09
